corpus,recording_id,model,ref_speakers,hyp_speakers,DER_collar0.0,miss_collar0.0_sec,falsealarm_collar0.0_sec,confusion_collar0.0_sec,total_ref_collar0.0_sec,DER_collar0.25,miss_collar0.25_sec,falsealarm_collar0.25_sec,confusion_collar0.25_sec,total_ref_collar0.25_sec,JER
afrispeech_dialog,d3550502-5ae7-4314-8a21-036d488cd8d6,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.3013,38.74,2.24,24.7,217.96,0.271,33.43,1.99,18.61,199.4,0.3699
afrispeech_dialog,d3550502-5ae7-4314-8a21-036d488cd8d6,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.5698,36.64,0.06,87.5,217.96,0.5655,32.12,0.0,80.65,199.4,0.6928
afrispeech_dialog,f2905988-70f5-42a3-86db-19066b25bc48,G1-A NeMo MarbleNet+TitaNet+spectral,2,3,0.3204,8.57,41.99,8.04,182.89,0.2898,7.94,36.02,6.43,173.89,0.2519
afrispeech_dialog,f2905988-70f5-42a3-86db-19066b25bc48,G1-B MarbleNet VAD + VBx,2,2,0.299,8.57,41.99,4.12,182.89,0.2694,7.94,36.02,2.89,173.89,0.2991
afrispeech_dialog,f2905988-70f5-42a3-86db-19066b25bc48,G2-A pyannote community-1,2,2,0.2996,32.1,20.69,2.01,182.89,0.2697,29.03,16.45,1.42,173.89,0.3007
afrispeech_dialog,f2905988-70f5-42a3-86db-19066b25bc48,G2-B NeMo diar_msdd_telephonic,2,2,0.359,44.02,19.22,2.41,182.89,0.3332,41.25,14.92,1.78,173.89,0.3453
afrispeech_dialog,f2905988-70f5-42a3-86db-19066b25bc48,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.3626,49.82,14.75,1.74,182.89,0.3335,45.86,11.08,1.06,173.89,0.3533
afrispeech_dialog,f2905988-70f5-42a3-86db-19066b25bc48,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.7619,54.71,41.77,42.86,182.89,0.7429,52.19,37.26,39.73,173.89,0.7321
afrispeech_dialog,f9bd30b2-684d-470e-b65c-ced156da0bbb,G1-A NeMo MarbleNet+TitaNet+spectral,2,3,0.7468,102.46,1.31,67.99,230.0,0.7487,100.66,1.18,64.19,221.75,0.7923
afrispeech_dialog,f9bd30b2-684d-470e-b65c-ced156da0bbb,G1-B MarbleNet VAD + VBx,2,1,0.6998,102.46,1.31,57.18,230.0,0.7019,100.66,1.18,53.79,221.75,0.8236
afrispeech_dialog,f9bd30b2-684d-470e-b65c-ced156da0bbb,G2-A pyannote community-1,2,2,0.7659,121.2,0.58,54.36,230.0,0.77,119.11,0.46,51.17,221.75,0.8526
afrispeech_dialog,f9bd30b2-684d-470e-b65c-ced156da0bbb,G2-B NeMo diar_msdd_telephonic,2,1,0.7959,145.49,0.76,36.79,230.0,0.7968,141.46,0.63,34.59,221.75,0.8664
afrispeech_dialog,f9bd30b2-684d-470e-b65c-ced156da0bbb,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,1,0.8085,147.76,0.64,37.55,230.0,0.8125,144.68,0.52,34.97,221.75,0.8753
afrispeech_dialog,f9bd30b2-684d-470e-b65c-ced156da0bbb,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.7898,145.79,0.65,35.21,230.0,0.7882,140.5,0.65,33.63,221.75,0.8196
ami,EN2002a,G1-A NeMo MarbleNet+TitaNet+spectral,4,4,0.3631,777.73,63.83,77.19,2530.26,0.3163,581.52,27.71,41.88,2058.56,0.3822
ami,EN2002a,G1-B MarbleNet VAD + VBx,4,6,0.4216,777.73,63.83,225.12,2530.26,0.3733,581.51,27.71,159.28,2058.56,0.4336
ami,EN2002a,G2-A pyannote community-1,4,4,0.219,338.73,72.23,143.26,2530.26,0.1778,232.44,37.7,95.97,2058.56,0.2659
ami,EN2002a,G2-B NeMo diar_msdd_telephonic,4,4,0.3374,683.29,86.24,84.28,2530.26,0.2884,517.43,29.93,46.31,2058.56,0.3557
ami,EN2002a,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,4,4,0.3292,760.9,27.6,44.44,2530.26,0.3028,588.01,8.03,27.33,2058.56,0.3475
ami,EN2002a,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,4,4,0.4369,1045.26,39.52,20.75,2530.26,0.3864,776.8,12.88,5.73,2058.56,0.4551
ami,EN2002b,G1-A NeMo MarbleNet+TitaNet+spectral,4,5,0.3689,585.63,68.65,62.72,1943.44,0.3318,465.41,42.69,36.89,1642.53,0.3833
ami,EN2002b,G1-B MarbleNet VAD + VBx,4,5,0.421,585.63,68.65,163.95,1943.44,0.3799,465.41,42.69,115.89,1642.53,0.4187
ami,EN2002b,G2-A pyannote community-1,4,4,0.2074,219.96,61.93,121.1,1943.44,0.1723,161.81,34.8,86.35,1642.53,0.2615
ami,EN2002b,G2-B NeMo diar_msdd_telephonic,4,4,0.3301,507.94,75.5,58.02,1943.44,0.2931,405.94,39.6,35.8,1642.53,0.3491
ami,EN2002b,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,4,4,0.325,576.28,24.97,30.44,1943.44,0.3044,470.86,9.85,19.24,1642.53,0.3387
ami,EN2002b,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,4,4,0.2877,510.24,27.48,21.36,1943.44,0.2546,390.94,14.35,12.93,1642.53,0.3105
ami,EN2002c,G1-A NeMo MarbleNet+TitaNet+spectral,3,4,0.3273,947.36,89.33,57.63,3343.64,0.2995,796.67,56.47,28.22,2942.67,0.3246
ami,EN2002c,G1-B MarbleNet VAD + VBx,3,5,0.3964,947.36,89.33,288.87,3343.64,0.3648,796.67,56.47,220.44,2942.67,0.3837
ami,EN2002c,G2-A pyannote community-1,3,3,0.1754,442.78,37.71,105.92,3343.64,0.1542,358.24,17.48,77.9,2942.67,0.1993
ami,EN2002c,G2-B NeMo diar_msdd_telephonic,3,3,0.2958,829.89,111.9,47.28,3343.64,0.268,706.48,59.99,22.16,2942.67,0.2987
ami,EN2002c,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,3,4,0.3184,1005.42,21.78,37.54,3343.64,0.3029,860.88,5.52,24.97,2942.67,0.3206
ami,EN2002c,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,3,7,0.5037,947.47,56.16,680.45,3343.64,0.4814,770.66,40.07,605.87,2942.67,0.5022
ami,EN2002d,G1-A NeMo MarbleNet+TitaNet+spectral,4,5,0.3894,881.81,77.7,82.54,2675.89,0.3551,701.28,45.19,47.9,2236.88,0.4037
ami,EN2002d,G1-B MarbleNet VAD + VBx,4,5,0.448,881.81,77.7,239.16,2675.89,0.4125,701.28,45.18,176.14,2236.88,0.4505
ami,EN2002d,G2-A pyannote community-1,4,4,0.2317,384.73,84.57,150.78,2675.89,0.2004,293.13,48.14,107.01,2236.88,0.277
ami,EN2002d,G2-B NeMo diar_msdd_telephonic,4,4,0.3678,807.36,96.88,80.05,2675.89,0.3349,649.04,52.47,47.69,2236.88,0.3884
ami,EN2002d,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,4,4,0.3525,889.0,28.39,25.98,2675.89,0.3329,721.59,8.52,14.53,2236.88,0.3701
ami,EN2002d,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,4,4,0.345,843.84,44.27,34.95,2675.89,0.3128,665.63,15.72,18.42,2236.88,0.3713
ami,ES2004a,G1-A NeMo MarbleNet+TitaNet+spectral,4,5,0.315,218.12,47.83,24.89,923.43,0.2714,161.45,33.75,15.32,775.77,0.3261
